Aircraft Type	Type	Description	Part Number	Manufacture	Need Type	Priority	Price as Listed	Qty	Total Cost	Web links	PO Number	TL Number (For Tooling )	Status	Base	Comments	Recieved?
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+	Tool	main jack	02-0517-0140	Tronair	Needed For Standard Inspections	Stage 1	$4,724.12	2	$9,448.24	https://pilotjohn.com/new/tronair/02-0517c0140?srsltid=AfmBOoqaLDZMn8bqXp4ISvI-EcRtUxB2H8yPbp83RU2KmFRdJez_51_i			Sourcing		waiting for vendors	
525B CJ3, 525A CJ2, 525 CJ1	Tool	Nav/Comm Test Set	IFR 4000		Needed For Standard Inspections	Stage 1		0	$0.00	https://pilotjohn.com/used/viavi/ifr4000			Own Equivilent		Owned	
560 Ultra, 560 Encore+, 560 Encore, 560XL-XLS, 560XL-XLS+, 560XL Excel, 560 Citation V	Tool	nose gear jack pad	R-2008	Tronair	Needed For Standard Inspections	Stage 1	$290.30	0	$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/R-2008			Owned	BJC	Approved	Received 26SEP2025
525A CJ2, 525B CJ3, 525C CJ4	Tool	nose jack	02-0520C0111	Tronair	Needed For Standard Inspections	Stage 1	$3,084.40	1	$3,084.40	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/02-0520C0111			Pending Approval			Received 26SEP2025
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+, 560XL-XLS+, 560XL-XLS, 560XL Excel, 560 Ultra	Tool	nose jack	02-0520-0110 (textron gave me the ALT of 02-0520C0111 which is the same as above) 		Needed For Standard Inspections	Stage 1	$3,084.40	0	$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/02-0520C0111			Pending Approval			
525A CJ2, 525B CJ3, 525C CJ4	Tool	nose jack pad	5520151-1	Cessna	Needed For Standard Inspections	Stage 1	$142.12	1	$142.12	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/5520151-1			Sourcing		"Approved
Zenith has NS with CoC 70.00"	
525A CJ2	Tool	nose landing gear test box	CJMD8A32-004	Cessna	Need For Advanced Troubleshooting	Stage 1			$0.00				Sourcing		Not finding 	
525C CJ4, 525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra, 560XL Excel, 560XL-XLS, 560XL-XLS+, Citation X, Citation X+	Tool	pitot tube adapter	18821-4	Nav-Aids	Needed For Standard Inspections	Stage 1	$476.67	1	$476.67	https://shop.boeing.com/aviation-supply/p/18821-4=5A			Pending Approval		Approved	
525C CJ4	Tool	pressurization test kit adapter	CJMDX21-001 (pilot john is saying that this has been superseded with K-1288)	Cessna	Needed For Standard Inspections	Stage 1	$1,548.76	1	$1,548.76	https://pilotjohn.com/new/tronair/k-1288?srsltid=AfmBOoqXrTHATuyyd9k0Ihmjp840bU3lzJT3vq4eVRZfR6SDpXI8lRzx			Sourcing			Received 26SEP2025
525A CJ2, 525B CJ3	Tool	rudder cable tension rig pin	CJMD827-005	Cessna	Needed For Standard Inspections	Stage 1	$72.86	1	$72.86	https://www.aviationpartsinc.com/product/cjmd827-005-tool-after-rudder-rig-pin/?srsltid=AfmBOooS7cQf1FQozvSYBgUuj_tNNbRuNr8fKgOTkmoK-IvVapVoQ6Y-			Sourcing		Approved	
525B CJ3, 525 CJ1, 525A CJ2, 525C CJ4	Tool	Spring Scale	Type L-30	Amek Aircraft Supplies	Needed For Standard Inspections	Stage 1	$39.99	1	$39.99	https://www.ebay.com/itm/116350635293?chn=ps&mkevt=1&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOopYJCN1bNQ4nWT_i0E43E5ZXCtYnaXCABwbo_59_Pewp0k4XEntIq8			Owned		Approved	
525A CJ2, 525B CJ3, 525C CJ4	Tool	strut/oleo servicing 	CJMDX12-001	Cessna	Needed For Standard Inspections	Stage 1		1	$0.00				Sourcing			
525A CJ2, 525B CJ3, 525C CJ4	Tool	tail stand	03-5815-0000 (Alt 03A5815C0010)	Tronair	Needed For Standard Inspections	Stage 1	$1,656.00	?	#VALUE!	https://pilotjohn.com/new/tronair/03a5815c0010			Sourcing			
525 CJ1, 525A CJ2, 525B CJ3, Citation 700	Tool	TCAS/DME Tester	IFR 6000		Needed For Standard Inspections	Stage 1		0	$0.00				Own Equivilent	BJC		
525A CJ2, 525B CJ3	Tool	wing jack	02-0526-0100 and 02-0526-C0110	Tronair	Needed For Standard Inspections	Stage 1	$3,490.42	0	$0.00	https://pilotjohn.com/new/tronair/02-0526c0110			Sourcing			
525C CJ4	Tool	EMT Kit (Williams Engnes)	9912691-1	Cessna	Need For Advanced Troubleshooting	Stage 1		1	$0.00				Sourcing		need to order sub parts PN: 9912691-7, 9912691-8, TL-110579, TL-221207, TL-99187	
525 CJ1, 525A CJ2, 525B CJ3, 560 Citation V, 560 Encore, 560 Encore+	Part	door seal	R860086	Sold in 14ft increments 	For Parts Stocking	Stage 2	$48.44		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/R860086			Pending Approval		Approved, but need quantity	
525 CJ1, 525A CJ2, 525B CJ3, 525C CJ4, 560XL-XLS, 560XL-XLS+, 560 Citation V, 560 Encore, 560 Encore+, 560 Ultra	Part	drain valve fuel	9912083-2		For Parts Stocking	Stage 2	$175.64		$0.00	https://ww2.txtav.com/Parts/PartSearch/PartsDetail/9912083-2			In Research			
525B CJ3	Part	main tire	9912709-1 (026-617-1)		For Parts Stocking	Stage 2	$1,329.50		$0.00	https://www.aircraftspruce.com/catalog/lgpages/michelinairtires_06-03029.php?clickkey=481330					This is a tire or a tire and wheel assy?	
